epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,2846.02,1.01266,0.60695,1.31988,0.96668,1,0.995,0.4975,2.17602,0.688,2.5968,0.000940855,0.000940855,0.000940855
46,2904.3,1.04752,0.62704,1.35698,0.96761,1,0.995,0.4975,2.27067,0.74275,2.81522,0.000924352,0.000924352,0.000924352
47,2961.04,1.04358,0.59709,1.3121,0.96775,1,0.995,0.2985,2.36103,0.80365,3.42768,0.000907848,0.000907848,0.000907848
48,3019.46,0.97764,0.55349,1.3008,1,1,0.995,0.4975,2.17325,0.94226,3.17955,0.000891345,0.000891345,0.000891345
49,3084.5,1.01507,0.57584,1.29392,0.96962,1,0.995,0.597,2.16543,0.81692,3.10119,0.000874842,0.000874842,0.000874842
50,3149.2,0.97521,0.57633,1.30519,0.96873,1,0.995,0.597,2.08142,0.81125,2.93696,0.000858338,0.000858338,0.000858338
51,3215.81,0.97375,0.57948,1.28144,0.96739,1,0.995,0.4975,2.15599,0.88572,2.97646,0.000841835,0.000841835,0.000841835
52,3280.75,0.99848,0.58753,1.30845,0.96675,1,0.995,0.4975,2.18172,1.16064,2.91773,0.000825332,0.000825332,0.000825332
53,3340.17,0.99441,0.60386,1.28486,0.96653,1,0.995,0.37312,2.32436,1.1519,3.09185,0.000808828,0.000808828,0.000808828
54,3403.96,0.99098,0.56944,1.3094,0.96799,1,0.995,0.41221,2.15721,1.05486,3.11553,0.000792325,0.000792325,0.000792325
55,3466.57,0.92076,0.50671,1.20456,0.96827,1,0.995,0.4975,2.185,0.68679,3.19751,0.000775822,0.000775822,0.000775822
56,3526.6,0.96707,0.54658,1.2701,0.96775,1,0.995,0.4975,2.06938,0.68211,2.99013,0.000759318,0.000759318,0.000759318
57,3584.69,0.98858,0.57403,1.30326,1,1,0.995,0.597,1.74444,0.56432,2.58974,0.000742815,0.000742815,0.000742815
58,3648.51,0.96262,0.54692,1.32308,0.96814,1,0.995,0.597,1.9161,0.6248,2.74591,0.000726312,0.000726312,0.000726312
59,3714.2,0.96592,0.55897,1.32517,0.96847,1,0.995,0.597,1.97183,0.67882,2.69548,0.000709809,0.000709809,0.000709809
60,3778.26,0.97422,0.54651,1.2938,0.96767,1,0.995,0.4975,2.04065,0.63433,2.77639,0.000693305,0.000693305,0.000693305
61,3841.94,0.90338,0.55634,1.26174,0.9693,1,0.995,0.4975,2.12811,0.77597,3.02514,0.000676802,0.000676802,0.000676802
62,3902.23,0.86761,0.48441,1.16474,0.96942,1,0.995,0.4975,2.08988,0.83871,2.79452,0.000660299,0.000660299,0.000660299
63,3959.45,0.97022,0.55892,1.31047,0.96923,1,0.995,0.398,2.28508,0.79577,3.06035,0.000643795,0.000643795,0.000643795
64,4019.52,0.90053,0.53875,1.22786,0.96984,1,0.995,0.398,2.30078,0.92309,3.28403,0.000627292,0.000627292,0.000627292
65,4077.8,0.91494,0.51721,1.28535,0.97001,1,0.995,0.398,2.21194,0.88144,3.34212,0.000610789,0.000610789,0.000610789
66,4137.76,0.93148,0.56349,1.28552,0.96658,1,0.995,0.4975,2.09024,0.73822,3.20894,0.000594286,0.000594286,0.000594286
67,4201.67,0.91094,0.50278,1.22233,0.9687,1,0.995,0.4975,2.02217,0.70849,2.98559,0.000577782,0.000577782,0.000577782
68,4267.69,0.92984,0.53103,1.24193,0.96867,1,0.995,0.398,2.10493,0.82059,3.07734,0.000561279,0.000561279,0.000561279
69,4326.89,0.84543,0.4565,1.21538,1,1,0.995,0.398,2.12808,0.79401,3.05269,0.000544776,0.000544776,0.000544776
70,4383.71,0.89951,0.51985,1.25687,0.96894,1,0.995,0.398,2.09532,0.63997,2.98811,0.000528272,0.000528272,0.000528272
71,4446.34,0.89057,0.51636,1.26011,0.96849,1,0.995,0.398,2.13024,0.72352,3.03861,0.000511769,0.000511769,0.000511769
72,4510.37,0.84337,0.47382,1.21267,0.96888,1,0.995,0.398,2.17051,0.75429,3.11556,0.000495266,0.000495266,0.000495266
73,4565.29,0.78851,0.50379,1.16553,0.96931,1,0.995,0.398,2.21965,0.76985,3.40338,0.000478762,0.000478762,0.000478762
74,4632.93,0.79643,0.48951,1.17671,0.96976,1,0.995,0.398,2.11681,0.78612,3.37983,0.000462259,0.000462259,0.000462259
75,4701.2,0.75494,0.45912,1.12808,1,1,0.995,0.398,2.03097,0.67968,3.23082,0.000445756,0.000445756,0.000445756
76,4756.69,0.73631,0.44094,1.13094,1,1,0.995,0.4975,2.00095,0.58499,3.18623,0.000429253,0.000429253,0.000429253
